instant_x,dteday,season_x,yr_x,mnth_x,hr_x,holiday_x,weekday_x,weathersit_x,temp_x,Unnamed: 0,hum_x,windspeed_x,casual_x,registered_x,cnt_x,instant_y,season_y,yr_y,mnth_y,hr_y,holiday_y,weekday_y,weathersit_y,temp_y,atemp,hum_y,windspeed_y,casual_y,registered_y,cnt_y
596,28-01-2011,1,0,1,0,FALSE,5,2,0.2,595,0.75,0.1343,0,9,9,611,1,0,1,16,FALSE,5,1,0.2275,0.26505,0.8,0.0335375,5.375,70,80
596,28-01-2011,1,0,1,0,FALSE,5,2,0.2,595,0.75,0.1343,0,9,9,612,1,0,1,17,FALSE,5,1,0.24,0.2424,0.75,0.1343,2,147,149
596,28-01-2011,1,0,1,0,FALSE,5,2,0.2,595,0.75,0.1343,0,9,9,613,1,0,1,18,FALSE,5,1,0.24,0.2273,0.75,0.194,2,107,109
596,28-01-2011,1,0,1,0,FALSE,5,2,0.2,595,0.75,0.1343,0,9,9,614,1,0,1,19,FALSE,5,2,0.24,0.2424,0.75,0.1343,5,84,89
596,28-01-2011,1,0,1,0,FALSE,5,2,0.2,595,0.75,0.1343,0,9,9,615,1,0,1,20,FALSE,5,2,0.24,0.2273,0.7,0.194,1,61,62
596,28-01-2011,1,0,1,0,FALSE,5,2,0.2,595,0.75,0.1343,0,9,9,616,1,0,1,21,FALSE,5,2,0.2275,0.2273,0.75,0.1343,1,57,58
596,28-01-2011,1,0,1,0,FALSE,5,2,0.2,595,0.75,0.1343,0,9,9,617,1,0,1,22,FALSE,5,1,0.24,0.2121,0.65,0.3022375,0,26,26
596,28-01-2011,1,0,1,0,FALSE,5,2,0.2,595,0.75,0.1343,0,9,9,618,1,0,1,23,FALSE,5,1,0.24,0.2273,0.6,0.2239,1,22,23
597,28-01-2011,1,0,1,1,FALSE,5,2,0.2,596,0.75,0.1343,1,2,3,611,1,0,1,16,FALSE,5,1,0.2275,0.26505,0.8,0.0335375,5.375,70,80
597,28-01-2011,1,0,1,1,FALSE,5,2,0.2,596,0.75,0.1343,1,2,3,612,1,0,1,17,FALSE,5,1,0.24,0.2424,0.75,0.1343,2,147,149
